Dealer Name	Credit Days	Credit Limit
AADINATH PLYWOOD AND HARDWARE	30	100000
ARYAN INTERIOR D ART	30	100000
CHINTAMANI HARDWARE AND PLYWOOD	30	50000
CREATIVE N CONCEPTS	20	50000
JAY TRADERS - NEW	30	200000
JYOTI INTERIOR	30	50000
M/s BR PLYWOOD AND HARDWARE	30	50000
MAHESH HARDWARE AND PLYWOOD	30	100000
NANDI INTERIORS	30	50000
NEW RAJPUROHIT PLYWOOD	30	100000
SAI VINAYAKA SANITATION	30	200000
SHREE ANJANEYA HARDWARE	30	100000
Shree Arihant Interiors	30	50000
SHREE GEETA PLYWOOD & HARDWARE	30	50000
SHRI MALLIKARJUN PLYWOOD HARDWARES	30	150000
SRINIVAS PLYWOODS AND HARDWARE- KOPPALA	30	50000
Twiggr Studio LLP	30	15000
VAYUPUTHRA GLASS PYWOODS	30	50000
VENKATESHWARA HARDWARE PLYWOOD	30	100000
GEETA PLYWOOD AND HARDWARE	30	50000
PARAM INNOVATIONS	30	50000
S R DESIGN STUDIO	30	150000
